sub:8	obj:8	sub:7	obj:7	sub:22	obj:22	sub:23	obj:23	sub:3	obj:3	sub:10	obj:10	sub:20	obj:20	sub:19	obj:19	sub:2	obj:2	sub:1	obj:1	sub:24	obj:24	sub:21	obj:21	sub:5	obj:5	sub:9	obj:9	sub:18	obj:18	sub:4	obj:4	sub:13	obj:13	sub:0	obj:0	sub:12	obj:12	sub:15	obj:15	sub:14	obj:14	sub:6	obj:6	sub:11	obj:11	sub:17	obj:17	sub:16	obj:16
31	31	18	75	31	86	31	82	100	18	18	70	75	9	18	46	17	86	60	31	18	24	46	58	78	86	75	61	90	17	23	1	84	9	23	68	48	92	67	84	62	84	""	""	""	""	""	""	""	""
4	4	14	45	62	""	62	""	14	14	13	91	45	""	74	80	50	""	""	91	76	""	""	""	""	""	""	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
81	81	84	36	33	""	81	""	67	79	97	84	20	""	84	56	20	""	4	84	88	""	37	""	4	""	36	24	62	36	72	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""
95	95	103	81	93	57	95	""	38	25	40	38	86	""	103	58	81	""	79	38	86	""	97	""	67	""	86	25	32	48	37	""	""	""	62	10	""	50	""	""	""	""	""	""	""	""	""	""	""	""
56	56	63	94	10	""	10	""	49	65	63	39	66	""	65	21	21	""	80	39	13	""	76	""	80	""	74	39	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
70	70	61	46	70	97	70	24	27	75	27	75	46	1	61	77	89	97	41	61	17	1	77	67	6	97	78	17	41	78	93	10	32	20	38	102	1	97	88	56	76	56	""	""	""	""	""	""	""	""
57	50	""	""	45	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
37	37	62	74	63	""	63	""	62	62	39	13	72	""	21	91	74	""	45	83	66	""	45	""	57	""	2	13	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
96	96	43	70	96	103	96	40	43	5	5	31	70	82	5	75	27	103	46	96	43	82	75	53	75	103	70	100	26	61	68	24	82	82	6	78	53	103	92	81	63	86	""	""	""	""	""	""	""	""
1	1	37	14	20	""	20	""	10	49	37	63	14	""	37	13	83	""	72	65	12	""	72	""	72	""	66	65	57	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
47	47	99	100	47	55	99	93	47	96	96	43	100	40	96	70	18	55	17	99	47	40	61	95	18	55	100	5	61	100	77	33	25	40	78	26	25	40	103	53	79	103	""	""	""	""	""	""	""	""
99	99	96	18	99	95	47	38	96	43	43	5	18	44	43	27	70	95	26	47	96	25	27	103	70	95	18	31	17	70	6	48	44	25	89	46	82	38	53	92	56	92	""	""	""	""	""	""	""	""
6	6	68	102	6	62	6	12	60	23	68	68	41	21	90	40	95	66	44	68	41	2	38	91	44	83	93	41	92	103	48	""	13	2	79	81	""	39	72	""	""	57	""	""	""	""	""	""	""	""
""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3	3	3	8	3	99	3	0	30	30	3	30	59	71	30	8	28	99	85	3	3	71	59	96	8	99	30	30	34	3	71	31	47	0	85	28	16	43	96	5	61	96	""	38	""	""	""	""	""	""
14	14	2	""	66	""	66	""	76	76	72	50	""	""	57	""	""	""	""	50	""	""	""	""	""	""	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
16	52	0	96	52	6	35	60	0	71	71	98	96	23	71	43	43	6	18	52	0	41	5	68	43	6	47	98	31	47	26	40	23	23	75	100	90	89	68	68	86	90	""	50	""	""	""	""	""	""
91	66	57	""	91	""	91	""	80	80	2	""	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
90	68	41	38	90	94	68	14	41	55	23	41	40	45	41	25	103	74	58	23	93	""	53	74	86	91	38	55	81	82	84	""	50	""	88	79	""	94	57	""	""	""	""	""	""	""	""	""	""	""
7	51	7	101	51	54	51	15	51	54	7	51	54	15	51	51	101	54	101	51	7	15	54	54	54	54	7	7	54	7	29	11	15	15	15	15	51	42	54	101	54	54	30	29	8	29	27	26	10	47
55	55	40	86	55	80	55	""	40	38	93	40	92	""	38	86	58	""	84	103	92	""	48	""	97	57	92	38	9	81	10	""	""	""	4	56	""	80	""	""	""	""	""	""	""	""	""	""	""	""
30	30	30	22	30	96	30	71	34	34	30	34	8	47	34	22	85	96	35	30	30	47	8	5	22	96	34	34	8	59	98	27	43	71	16	85	52	5	5	100	75	5	""	40	""	""	""	""	""	""
29	69	69	73	69	64	69	34	29	69	29	29	87	34	69	29	73	64	64	69	69	8	73	3	73	64	29	69	42	69	34	22	8	34	3	64	42	30	64	3	59	3	23	18	""	19	""	""	""	""
8	8	8	35	8	70	8	31	22	28	28	22	85	18	28	52	0	70	99	8	22	18	85	61	52	70	22	28	16	85	5	46	18	31	71	35	96	70	75	75	6	61	""	32	""	""	""	""	""	""
39	39	21	""	12	""	12	""	66	21	21	72	""	""	76	50	45	""	""	74	2	""	""	""	""	""	""	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
15	15	15	69	15	69	15	29	54	101	54	54	29	29	15	54	29	69	42	15	54	29	69	69	29	69	101	101	101	15	42	42	29	29	101	101	15	73	69	73	69	69	85	22	""	22	""	32	""	""
35	35	52	99	35	77	16	26	52	52	52	52	99	60	35	99	47	89	31	35	16	60	96	77	99	89	0	0	43	0	61	23	19	26	18	96	77	46	6	6	103	6	""	39	""	""	""	""	""	""
46	46	77	68	46	56	46	10	77	6	77	89	60	39	89	102	23	63	40	77	68	12	102	65	95	65	19	90	25	102	44	21	49	12	58	82	57	20	66	74	""	94	""	""	""	""	""	""	""	""
94	91	45	""	72	""	74	""	45	50	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
103	103	92	67	38	""	38	""	53	86	44	53	97	""	82	84	67	""	88	92	48	""	9	""	32	""	79	86	56	79	62	""	""	""	14	62	""	""	""	""	""	""	""	""	""	""	""	""	""	""
93	93	25	33	95	""	93	""	103	44	103	25	81	""	40	81	33	""	24	25	58	""	67	""	84	""	33	82	88	97	49	""	""	""	12	37	""	45	""	""	""	""	""	""	""	""	""	""	""	""
74	72	""	""	76	""	76	""	""	57	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
19	19	102	40	19	91	19	2	102	93	41	55	103	""	102	44	25	72	33	55	95	""	92	76	58	72	103	93	97	53	24	""	45	""	56	9	""	91	""	""	""	""	""	""	""	""	""	""	""	""
11	101	101	87	11	87	101	30	69	29	101	69	42	30	11	69	87	87	73	101	101	34	42	64	42	73	69	29	29	101	30	34	34	30	64	69	69	3	87	64	3	64	27	31	""	18	""	50	""	""
85	85	85	98	85	78	85	17	16	35	35	16	98	26	52	98	99	78	5	85	52	26	99	89	98	78	35	16	47	35	70	41	60	17	100	47	78	26	89	77	55	77	""	49	""	""	""	""	""	""
66	21	50	""	94	""	94	""	2	2	76	57	""	""	""	""	""	""	""	57	""	""	""	""	""	""	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
58	58	67	20	81	""	58	""	97	84	48	67	88	""	97	20	1	""	65	67	32	""	10	""	65	""	56	79	39	56	91	""	""	""	45	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""
78	78	6	19	78	63	78	37	89	68	89	6	68	12	77	55	41	65	38	89	90	13	95	62	38	4	41	60	44	55	58	50	39	13	81	53	""	36	94	72	""	72	""	""	""	""	""	""	""	""
59	59	59	85	59	100	59	43	8	8	59	8	22	31	8	35	52	100	98	59	59	31	28	70	85	100	28	8	85	22	96	26	100	43	0	16	71	100	61	61	89	70	""	24	""	""	""	""	""	""
77	77	90	23	89	4	77	39	68	19	60	90	23	14	68	95	93	83	25	90	23	21	103	66	25	62	55	19	53	95	33	""	12	14	97	86	""	4	74	80	""	80	""	""	""	""	""	""	""	""
75	75	26	89	75	79	75	1	17	78	26	46	89	10	26	60	68	79	55	26	77	10	19	88	23	79	60	77	95	68	103	12	36	37	53	38	65	79	65	62	""	62	""	""	""	""	""	""	""	""
53	53	33	9	92	""	53	""	81	48	58	33	24	""	81	32	9	""	36	33	79	""	20	""	10	""	88	97	63	88	14	""	""	""	2	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""
12	12	91	""	13	""	13	""	94	94	66	76	""	""	80	57	""	""	""	76	50	""	""	""	""	""	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
73	73	87	30	87	85	73	28	87	73	87	87	3	22	73	64	34	85	34	73	87	16	3	52	30	85	87	87	64	73	35	35	35	22	59	34	64	35	52	98	96	52	20	19	""	24	""	""	""	""
22	28	28	16	28	61	22	18	28	22	22	28	35	27	22	0	71	61	96	22	28	27	35	75	35	61	85	85	52	52	31	60	17	18	47	0	5	75	78	78	68	75	""	1	""	""	""	""	""	""
24	24	20	12	24	""	9	""	1	56	1	36	39	""	20	4	4	""	66	56	65	""	21	""	66	""	12	36	72	39	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
27	61	75	78	27	67	27	9	61	17	75	17	78	20	75	90	77	67	23	75	26	20	6	84	90	67	89	26	102	89	95	37	1	36	44	55	49	67	56	65	57	63	""	""	""	""	""	""	""	""
101	11	11	42	101	73	11	42	11	11	11	11	69	42	101	101	42	73	87	11	11	30	29	87	69	87	11	11	69	11	73	30	30	42	11	11	11	64	73	87	64	73	61	47	""	35	""	37	""	""
38	40	82	48	40	""	103	""	25	53	38	44	33	""	25	48	48	""	9	82	81	""	84	""	24	""	48	53	1	67	4	""	""	""	83	49	""	""	""	""	""	""	""	""	""	""	""	""	""	""
44	44	58	79	44	""	44	""	86	81	53	58	84	""	92	9	79	""	20	58	67	""	32	""	20	""	24	33	10	24	13	""	""	""	91	83	""	""	""	""	""	""	""	""	""	""	""	""	""	""
42	42	42	3	42	59	42	22	73	87	42	73	64	28	42	73	30	59	30	42	42	22	64	85	3	59	73	73	87	42	22	16	22	28	34	30	87	85	59	85	85	85	84	60	""	9	""	""	""	""
50	80	""	""	57	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0	0	71	43	0	68	0	19	71	98	98	47	43	41	98	5	5	90	70	0	71	23	31	90	5	68	96	99	100	43	46	25	93	41	17	18	40	90	102	102	58	68	""	45	""	""	""	""	""	""
26	26	89	90	26	1	26	36	78	77	78	77	90	49	78	41	19	56	93	78	6	49	23	63	55	63	90	6	103	90	25	14	37	39	86	44	2	32	83	94	""	66	""	""	""	""	""	""	""	""
23	41	55	25	41	74	41	50	55	95	102	95	38	""	55	82	44	76	48	93	103	""	86	80	81	74	25	95	67	92	9	""	""	""	10	32	""	74	""	""	""	""	""	""	""	""	""	""	""	""
69	29	29	64	29	3	29	8	42	42	69	42	73	8	29	42	3	3	3	29	29	28	87	59	87	3	42	42	73	29	28	28	28	8	30	3	73	59	3	59	8	59	82	26	""	25	""	""	""	""
65	65	13	50	39	""	39	""	13	13	83	66	50	""	94	2	80	""	""	66	74	""	""	""	""	""	""	66	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
62	62	66	""	83	""	83	""	91	66	14	74	""	""	2	45	57	""	""	72	80	""	""	""	""	""	""	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
102	102	38	92	102	76	102	""	93	103	95	103	44	""	95	92	86	57	67	40	25	""	33	""	48	80	53	103	79	58	1	""	""	""	49	1	""	76	""	""	""	""	""	""	""	""	""	""	""	""
67	67	32	65	84	""	67	""	24	88	24	88	37	""	32	49	49	""	13	88	36	""	39	""	83	""	63	1	94	63	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
76	74	""	""	2	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
86	86	97	88	58	""	86	""	48	67	33	97	32	""	48	1	88	""	49	97	9	""	36	""	63	""	20	84	4	20	94	""	""	""	57	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""
87	87	73	34	73	52	87	35	64	64	73	64	30	16	64	3	8	52	28	87	73	35	30	98	34	52	64	64	3	87	52	47	0	35	8	8	59	98	98	99	5	98	62	41	""	""	""	""	""	""
20	20	49	66	36	""	36	""	37	63	49	65	21	""	49	14	14	""	76	4	83	""	74	""	76	""	94	4	""	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
45	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
41	23	93	44	23	72	23	45	95	40	55	93	25	""	93	53	92	80	97	95	38	""	81	57	33	76	82	40	84	86	88	""	""	""	37	88	""	72	""	""	""	""	""	""	""	""	""	""	""	""
68	90	19	95	60	83	90	13	90	41	90	19	102	2	19	103	40	91	92	19	102	50	25	94	53	66	95	23	86	25	97	""	14	50	9	33	""	12	76	""	""	""	""	""	""	""	""	""	""	""
17	17	78	6	17	88	17	20	26	89	46	78	6	37	46	19	90	88	95	46	89	37	41	56	102	88	68	89	38	60	38	13	10	49	92	25	76	24	4	66	""	83	""	""	""	""	""	""	""	""
49	49	12	76	65	""	65	""	12	12	62	14	74	""	14	74	76	""	""	13	94	""	""	""	""	""	80	14	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
10	10	39	72	49	""	49	""	65	39	4	12	91	""	39	94	91	""	57	12	14	""	50	""	45	""	76	83	""	76	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
98	98	47	31	98	102	98	23	99	99	99	96	31	38	47	18	100	102	75	98	99	38	70	55	100	102	31	96	70	31	89	82	38	38	46	17	103	95	95	103	67	95	""	""	""	""	""	""	""	""
9	9	56	83	32	""	24	""	20	36	20	10	12	""	56	39	39	""	91	36	4	""	66	""	94	""	13	10	76	62	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
71	71	98	5	71	90	71	41	98	47	47	99	5	93	99	31	31	68	61	71	98	93	100	102	31	90	43	47	18	5	78	44	40	93	26	27	38	41	55	95	81	55	""	""	""	""	""	""	""	""
84	84	88	4	79	""	84	""	32	1	9	1	65	""	88	63	63	""	21	1	10	""	13	""	13	""	65	20	91	65	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
92	92	48	32	86	""	92	""	33	97	81	48	9	""	33	88	32	""	37	48	24	""	56	""	37	""	1	67	65	1	66	""	""	""	50	21	""	""	""	""	""	""	""	""	""	""	""	""	""	""
72	94	""	""	74	""	72	""	57	45	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
43	43	5	27	43	53	43	25	5	31	31	100	61	33	31	17	61	53	89	43	5	33	17	92	26	53	27	18	46	27	90	9	33	33	68	89	58	25	81	97	65	58	""	""	""	""	""	""	""	""
52	16	16	47	16	89	52	46	35	0	0	71	47	19	0	96	96	77	100	16	35	19	43	6	96	77	99	71	5	71	75	38	41	60	27	43	89	77	90	90	92	60	""	12	""	""	""	""	""	""
2	76	""	""	80	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
100	100	70	17	100	58	100	33	18	70	70	61	17	24	70	78	26	58	90	100	61	9	78	81	77	58	17	27	68	26	41	20	24	32	102	60	67	86	84	79	94	79	""	""	""	""	""	""	""	""
82	82	81	24	82	""	82	""	58	33	92	81	79	""	86	24	24	""	56	81	84	""	88	""	36	""	32	48	37	32	21	""	""	""	94	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""
13	13	76	""	14	""	21	""	74	74	74	80	""	""	45	""	""	""	""	80	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
88	88	10	21	1	""	88	""	36	37	10	49	13	""	10	12	12	""	74	63	62	""	94	""	74	""	21	63	45	66	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
40	38	53	97	103	""	40	""	82	92	25	82	48	""	44	97	97	""	32	53	33	""	79	""	9	""	67	92	20	84	39	""	""	""	13	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""
25	25	86	84	25	""	25	""	92	58	82	92	67	""	53	79	84	""	1	86	97	""	24	""	88	""	9	81	36	9	83	""	""	""	21	12	""	""	""	""	""	""	""	""	""	""	""	""	""	""
64	64	64	59	64	98	64	16	3	3	64	3	34	0	3	34	22	98	22	64	64	0	34	99	59	98	3	3	30	64	0	43	71	16	28	22	8	96	99	96	100	99	80	93	""	""	""	""	""	""
18	18	27	26	18	81	18	48	70	61	61	27	26	32	27	89	78	81	19	70	75	32	89	97	89	81	26	75	23	46	55	36	9	1	55	23	88	48	79	88	72	88	""	""	""	""	""	""	""	""
63	63	83	80	4	""	4	""	83	83	12	21	80	""	91	76	2	""	""	21	91	""	""	""	""	""	50	21	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
97	97	9	63	67	""	97	""	9	32	79	9	10	""	9	37	37	""	12	24	56	""	4	""	12	""	49	88	66	49	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
79	79	1	39	9	""	79	""	88	20	32	20	4	""	1	65	65	""	14	20	37	""	14	""	21	""	39	56	74	4	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
34	34	34	28	34	5	34	47	59	59	34	59	28	43	59	85	35	5	52	34	34	43	22	100	28	5	59	59	28	8	99	17	31	47	52	52	0	31	70	70	78	100	""	44	""	""	""	""	""	""
89	89	60	41	77	65	89	49	6	90	6	60	19	13	60	93	102	62	103	60	19	14	40	83	40	39	23	68	82	93	81	45	62	21	33	92	""	37	91	76	""	76	""	""	""	""	""	""	""	""
54	54	54	29	54	101	54	11	15	15	15	15	101	11	54	15	69	101	29	54	15	11	101	101	101	101	15	15	11	54	69	29	11	11	54	54	54	87	101	69	101	101	34	59	9	42	1	60	""	""
36	36	65	91	37	""	37	""	63	4	65	62	94	""	4	66	94	""	50	62	21	""	80	""	50	""	72	12	""	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
5	5	31	61	5	92	5	44	31	100	100	18	27	48	100	26	75	92	77	5	31	48	26	86	46	92	61	70	6	75	19	32	48	48	60	6	81	44	97	67	4	81	""	""	""	""	""	""	""	""
80	2	""	""	50	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
33	33	79	10	48	""	33	""	84	24	67	79	56	""	79	36	36	""	39	79	1	""	63	""	39	""	10	9	83	10	74	""	""	""	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""
60	60	23	103	68	66	60	21	23	102	19	23	95	50	23	38	38	94	86	41	55	45	44	72	92	94	40	102	58	44	67	""	2	45	32	97	""	13	80	""	""	""	""	""	""	""	""	""	""	""
48	48	24	37	97	""	48	""	79	9	84	24	36	""	24	10	10	""	62	9	20	""	65	""	62	""	37	32	13	37	76	""	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""
51	7	51	54	7	51	7	7	7	7	51	7	7	7	7	7	15	51	7	7	51	7	51	51	7	51	51	51	51	51	15	7	7	7	7	7	7	29	51	54	51	51	11	15	73	7	0	22	61	54
28	22	22	0	22	75	28	27	85	85	16	35	16	17	85	71	98	75	43	28	85	17	98	78	16	75	16	35	71	16	18	19	26	27	43	71	75	17	77	89	102	89	""	37	""	""	""	""	""	""
32	32	36	13	88	""	32	""	56	10	36	37	83	""	36	62	62	""	94	49	39	""	91	""	91	""	14	49	80	83	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
61	27	17	77	61	84	61	32	75	26	17	26	77	36	17	68	6	84	102	17	78	36	90	79	41	84	77	78	55	6	40	39	20	10	82	93	63	84	63	4	""	65	""	""	""	""	""	""	""	""
83	83	72	""	21	""	14	""	72	72	91	2	""	""	50	""	""	""	""	2	45	""	""	""	""	""	""	76	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
