sub:31	obj:31	sub:43	obj:43	sub:18	obj:18	sub:35	obj:35	sub:45	obj:45	sub:5	obj:5	sub:40	obj:40	sub:42	obj:42	sub:8	obj:8	sub:34	obj:34	sub:3	obj:3	sub:6	obj:6	sub:23	obj:23	sub:33	obj:33	sub:32	obj:32	sub:2	obj:2	sub:16	obj:16	sub:28	obj:28	sub:38	obj:38	sub:25	obj:25	sub:30	obj:30	sub:14	obj:14	sub:41	obj:41	sub:4	obj:4	sub:15	obj:15	sub:44	obj:44	sub:17	obj:17	sub:27	obj:27	sub:37	obj:37	sub:20	obj:20	sub:46	obj:46	sub:39	obj:39	sub:21	obj:21	sub:11	obj:11	sub:24	obj:24	sub:10	obj:10	sub:9	obj:9	sub:7	obj:7	sub:29	obj:29	sub:19	obj:19	sub:22	obj:22	sub:1	obj:1	sub:36	obj:36	sub:12	obj:12	sub:13	obj:13	sub:26	obj:26
40	116	116	""	47	106	""	91	127	10	65	""	""	114	47	""	""	""	""	""	66	""	""	""	""	""	""	58	""	""	""	""	""	""	""	""	""	""	""	""	""	2	""	121	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	114	""	""	""	""	""	""	""	""	""	33	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	55	""	""	""	""	""	""	""	""	""	102	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
50	""	""	""	89	""	""	""	""	""	""	""	""	""	77	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	92	""	""	""	""	""	""	""	""	""	53	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	121	""	""	""	""	""	""	""	""	""	63	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
92	127	4	""	96	32	""	""	49	65	76	""	""	116	110	""	""	""	""	""	45	""	""	""	""	""	""	32	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	56	""	""	""	""	""	""	""	""	""	20	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	123	""	""	""	""	""	""	""	""	""	123	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	2	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	108	""	""	""	""	""	""	""	""	""	108	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
93	53	117	50	71	135	""	12	106	105	105	""	""	44	35	""	94	""	""	""	12	""	""	""	""	""	""	44	""	""	""	""	""	""	""	""	""	""	""	""	""	12	""	36	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	115	""	""	""	""	""	""	""	""	""	82	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
23	44	44	109	52	90	""	65	33	106	106	""	""	38	16	""	83	2	""	""	79	""	""	""	""	""	""	103	""	""	""	""	""	""	""	""	""	21	""	""	""	10	""	116	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
55	115	82	66	35	128	""	4	97	32	32	""	""	25	52	""	14	45	""	""	4	""	""	""	""	""	""	25	""	""	""	""	""	""	""	""	""	66	""	""	""	49	""	105	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4	94	""	""	131	""	""	""	45	""	""	""	""	""	75	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	36	""	""	""	""	""	""	""	""	""	127	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
107	43	5	46	112	85	44	118	126	126	75	""	115	96	112	""	19	68	25	55	107	55	50	20	67	55	""	61	""	62	""	109	44	""	12	12	""	60	""	""	""	6	""	77	12	116	""	""	""	103	""	122	""	""	13	""	""	""	""	""	""	""	""	44	25	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	84	""	""	""	""	""	""	""	""	""	84	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
60	41	41	63	28	27	""	116	25	53	25	""	50	41	8	""	1	62	""	""	114	50	""	""	""	""	""	41	""	""	""	""	""	""	""	""	""	134	""	""	""	106	""	117	""	""	""	""	""	2	""	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	50	""	""	""	""	""	""	""	""	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	74	""	""	""	""	""	""	""	""	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	9	""	""	""	""	""	""	""	""	""	24	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	62	""	""	""	""	""	""	""	""	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
109	""	""	""	26	""	""	""	""	""	""	""	""	""	131	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
15	7	54	132	124	7	132	7	51	124	29	11	73	15	124	89	87	112	11	11	15	11	16	7	132	11	114	15	112	87	111	132	11	96	87	87	78	15	68	133	66	15	43	54	42	11	111	11	66	112	43	7	130	11	100	101	35	87	96	8	135	11	57	11	29	""	98	89	27	52	52	120	102	75	111	115	102	102	95	117	62	9	117	117	96	55	117	9	""	89	""	""
80	""	""	""	77	""	""	""	""	""	""	""	""	""	78	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
96	100	70	104	73	16	116	60	130	130	126	""	117	31	73	""	41	102	44	38	96	111	""	127	4	38	""	75	""	83	""	21	116	""	66	109	""	19	""	""	""	60	""	6	50	12	""	""	""	25	""	33	""	""	14	""	""	""	""	""	""	""	""	116	92	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3	87	8	16	132	29	26	34	22	22	133	55	52	30	132	""	96	99	96	17	112	96	104	120	96	17	""	8	25	120	""	86	104	44	19	19	""	98	109	40	""	61	""	22	19	60	""	41	""	61	""	126	""	55	122	""	""	48	55	55	""	12	""	96	130	""	79	""	117	84	62	""	""	106	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
75	26	26	41	3	110	""	128	118	118	6	""	65	26	3	""	38	135	12	12	104	56	""	62	57	12	""	130	""	""	""	""	""	""	""	""	""	38	""	""	""	103	""	23	""	""	""	""	""	106	""	37	""	""	""	""	""	""	""	""	""	""	""	72	32	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	33	""	""	""	""	""	""	""	""	""	114	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
101	132	11	11	7	54	30	69	112	112	64	96	34	112	7	""	113	3	3	30	101	85	52	34	42	30	66	87	22	52	39	98	30	68	96	96	57	87	33	110	""	3	57	112	26	30	109	16	""	22	36	34	79	96	68	""	1	107	26	26	74	41	""	30	3	""	31	66	60	60	120	62	""	6	""	94	62	62	""	62	""	""	""	""	""	""	""	""	""	""	""	""
77	19	104	79	133	5	""	53	111	103	40	""	72	104	133	""	9	106	45	""	44	94	""	""	""	""	""	19	""	""	""	""	""	""	""	""	""	79	""	""	""	92	""	25	""	""	""	""	""	49	""	14	""	""	""	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
32	123	""	""	70	80	""	""	72	72	""	""	""	72	18	""	""	""	""	""	""	""	""	""	""	""	""	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	116	""	""	""	""	""	""	""	""	""	9	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	68	""	""	""	""	""	""	""	""	""	104	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
45	""	""	""	6	""	""	""	""	""	""	""	""	""	89	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	91	""	""	""	""	""	""	""	""	""	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	88	""	""	""	""	""	""	""	""	""	32	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
123	""	""	""	120	""	""	""	""	""	""	""	""	""	26	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
87	69	30	30	54	69	17	30	34	34	34	41	16	3	15	""	52	22	16	96	42	47	120	126	16	96	""	30	130	26	94	31	96	111	60	60	""	8	39	93	""	18	""	30	60	104	76	104	""	18	""	100	74	41	111	""	""	114	41	41	""	44	""	16	61	""	48	""	82	58	9	""	""	97	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
130	68	60	44	34	43	""	44	23	128	102	""	91	60	34	""	33	97	50	""	25	14	""	72	""	""	""	60	""	""	""	""	""	""	""	""	""	48	""	""	""	44	""	103	""	""	""	""	""	10	""	13	""	""	""	""	""	""	""	""	""	""	""	""	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	79	""	""	""	""	""	""	""	""	""	79	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	102	""	""	""	""	""	""	""	""	""	23	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	21	""	""	""	""	""	""	""	""	""	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
105	13	""	""	61	119	""	""	74	2	""	""	""	50	70	""	""	""	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
61	17	17	19	64	98	123	41	6	6	77	""	1	17	64	""	111	25	10	116	61	33	""	65	50	116	""	26	""	""	""	""	50	""	""	""	""	55	""	""	""	23	""	19	""	""	""	""	""	97	""	127	""	""	""	""	""	""	""	""	""	""	""	12	106	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
49	91	""	""	75	""	""	""	80	""	""	""	""	""	27	""	""	""	""	""	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	12	""	""	""	""	""	""	""	""	""	39	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
106	4	50	""	31	12	""	""	14	14	45	""	""	83	5	""	""	""	""	""	""	""	""	""	""	""	""	10	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	41	""	""	""	""	""	""	""	""	""	19	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	80	""	""	""	""	""	""	""	""	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	97	""	""	""	""	""	""	""	""	""	97	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	65	""	""	""	""	""	""	""	""	""	49	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
35	34	47	70	69	133	41	17	18	18	99	50	118	16	69	""	120	75	104	104	16	68	9	53	41	104	""	96	74	38	""	79	41	39	38	38	""	31	94	74	""	26	""	61	38	38	""	12	""	6	""	128	""	50	127	""	""	109	""	""	""	""	""	104	102	""	66	""	9	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
17	118	46	55	113	107	""	55	68	68	118	""	62	120	30	""	44	92	109	50	41	39	""	13	""	50	""	77	""	""	""	""	""	""	""	""	""	44	""	""	""	38	""	102	""	""	""	""	""	32	""	65	""	""	""	""	""	""	""	""	""	""	""	50	105	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	25	""	""	""	""	""	""	""	""	""	103	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
114	37	12	""	43	63	""	""	65	39	2	""	""	65	96	""	""	""	""	""	""	""	""	""	""	""	""	116	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	109	""	""	""	""	""	""	""	""	""	83	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
112	101	87	87	15	101	96	87	3	3	3	104	35	87	54	""	35	133	22	16	11	16	131	100	8	16	""	3	61	35	14	107	16	41	26	26	""	30	114	130	""	22	""	87	104	16	74	96	""	71	121	35	66	104	128	""	129	31	19	19	76	55	""	34	18	""	114	""	95	38	117	""	""	102	""	129	""	83	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	118	""	""	""	""	""	""	""	""	""	6	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	104	""	""	""	""	""	""	""	""	""	90	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
22	113	16	96	11	30	19	100	100	100	71	12	120	22	101	""	26	61	130	60	22	89	117	128	104	60	""	71	10	19	""	48	19	33	55	55	""	43	66	108	""	17	""	18	55	55	""	44	""	77	""	118	""	12	20	""	""	116	12	12	""	""	""	26	23	""	109	""	84	66	76	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	20	""	""	""	""	""	""	""	""	""	105	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
